iter	Passed	Remaining
0	1	189
1	3	181
2	5	168
3	6	155
4	8	153
5	9	151
6	11	149
7	12	147
8	14	145
9	16	146
10	18	145
11	19	143
12	21	141
13	22	138
14	24	137
15	25	135
16	27	135
17	29	134
18	31	132
19	32	130
20	34	129
21	36	128
22	37	126
23	39	124
24	41	123
25	42	121
26	44	119
27	46	118
28	47	116
29	49	114
30	50	112
31	52	110
32	53	109
33	55	107
34	57	106
35	59	105
36	61	104
37	63	102
38	64	101
39	66	99
40	68	97
41	68	94
42	70	93
43	72	91
44	75	91
45	78	92
46	81	91
47	83	90
48	86	89
49	88	88
50	90	86
51	91	84
52	93	82
53	95	81
54	96	78
55	98	77
56	99	75
57	101	73
58	103	71
59	105	70
60	106	68
61	108	66
62	109	64
63	111	62
64	113	60
65	115	59
66	205	101
67	224	105
68	240	107
69	250	107
70	257	105
71	269	104
72	283	104
73	290	102
74	292	97
75	294	93
76	297	88
77	299	84
78	301	80
79	303	75
80	305	71
81	307	67
82	309	63
83	311	59
84	313	55
85	315	51
86	327	48
87	330	45
88	335	41
89	338	37
90	347	34
91	349	30
92	351	26
93	353	22
94	355	18
95	357	14
96	359	11
97	361	7
98	363	3
99	365	0
